,names,price,ram,os,gp
1,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹18,990",8 GB LPDDR5 RAM,64 bit Windows 11 Home Operating System,256 GB SSD
2,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹15,990",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,128 GB SSD
3,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹15,990",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD
4,Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹22,990",8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD
5,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,"₹34,990",8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD
6,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD
7,HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,"₹29,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
8,HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...,"₹32,990",8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD
9,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,"₹34,990",8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD
10,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,"₹40,990",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
11,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹44,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
12,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹69,190",16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD
13,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹11,990",4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 Inch) Display
14,Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,"₹28,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
15,HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...,"₹34,790",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
16,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹30,990",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
17,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) A325-42 Thin an...,"₹42,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
18,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Th...,"₹36,990",8 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD
19,Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹44,990",16 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD
20,Lenovo V 15 (2025) Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) V 15 Thin and Lig...,"₹21,490",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD
21,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0413 ...,"₹18,990",4 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display
22,DELL Intel Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Pro) 5470 Thin and Light Laptop,"₹21,380",8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD
23,Lenovo Slim 5 Co-Pilot Next Gen AI PC Full Metal Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) ...,"₹71,990",16 GB LPDDR5X RAM,Windows 11 Operating System,1 TB SSD
24,ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,"₹30,990",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
